frame,num_detections,mean_confidence,latency_ms
263,0,0.0,54.703
264,0,0.0,54.393
265,0,0.0,55.764
266,0,0.0,59.429
267,0,0.0,54.189
268,0,0.0,55.309
269,0,0.0,55.75
270,1,0.0573,55.95
271,0,0.0,56.901
272,0,0.0,56.14
273,0,0.0,58.78
274,0,0.0,53.481
275,0,0.0,60.858
276,0,0.0,59.528
277,0,0.0,59.081
278,0,0.0,60.242
279,0,0.0,54.394
280,0,0.0,57.559
281,0,0.0,52.615
282,0,0.0,54.223
283,0,0.0,53.917
284,1,0.06,54.34
285,0,0.0,55.02
286,0,0.0,56.619
287,0,0.0,57.412
288,0,0.0,54.542
289,0,0.0,56.649
290,0,0.0,61.087
291,0,0.0,58.033
292,0,0.0,55.665
293,2,0.0629,51.523
294,0,0.0,58.014
295,0,0.0,61.107
296,2,0.0658,59.886
297,0,0.0,59.799
298,0,0.0,60.274
299,0,0.0,60.688
300,0,0.0,59.936
301,0,0.0,57.215
302,0,0.0,51.371
303,0,0.0,54.059
304,0,0.0,52.982
305,0,0.0,51.848
306,0,0.0,58.821
307,0,0.0,53.058
308,0,0.0,53.528
309,0,0.0,57.509
310,0,0.0,55.197
311,0,0.0,55.099
312,0,0.0,53.001
313,0,0.0,52.163
314,0,0.0,54.918
315,1,0.079,53.658
316,0,0.0,54.213
317,1,0.0721,54.429
318,0,0.0,57.471
319,0,0.0,52.785
320,0,0.0,53.755
321,0,0.0,54.49
322,0,0.0,52.932
323,0,0.0,54.76
324,0,0.0,53.494
325,1,0.06,55.108
326,1,0.0547,55.099
327,0,0.0,56.639
328,0,0.0,53.862
329,1,0.06,54.622
330,0,0.0,53.497
331,2,0.0682,55.054
332,0,0.0,53.425
333,0,0.0,59.73
334,0,0.0,55.372
335,0,0.0,53.815
336,1,0.0522,53.951
337,0,0.0,55.798
338,0,0.0,55.114
339,0,0.0,53.5
340,0,0.0,53.151
341,0,0.0,53.393
342,0,0.0,53.303
343,0,0.0,53.824
344,0,0.0,54.97
345,0,0.0,53.44
346,0,0.0,53.778
347,0,0.0,53.489
348,0,0.0,54.571
349,1,0.0721,58.98
350,0,0.0,53.679
351,0,0.0,53.201
352,0,0.0,54.841
353,0,0.0,55.521
354,0,0.0,53.856
355,0,0.0,52.87
356,0,0.0,56.939
357,0,0.0,56.847
358,0,0.0,56.568
359,0,0.0,62.879
360,0,0.0,58.916
361,0,0.0,55.413
362,0,0.0,61.771
363,0,0.0,55.805
364,0,0.0,56.347
365,2,0.0603,54.982
366,0,0.0,64.21
367,0,0.0,56.233
368,0,0.0,56.686
369,0,0.0,54.431
370,0,0.0,58.415
371,0,0.0,56.755
372,0,0.0,61.279
373,0,0.0,63.08
374,0,0.0,58.812
375,0,0.0,57.525
376,0,0.0,66.932
377,0,0.0,55.451
378,0,0.0,56.539
379,1,0.0573,63.12
380,0,0.0,56.458
381,0,0.0,55.496
382,0,0.0,55.308
383,0,0.0,57.992
384,0,0.0,65.711
385,0,0.0,64.845
386,0,0.0,70.66
387,0,0.0,63.666
388,0,0.0,69.27
389,0,0.0,61.605
390,0,0.0,56.603
391,0,0.0,55.763
392,0,0.0,56.995
393,0,0.0,55.49
394,0,0.0,63.692
395,0,0.0,63.923
396,0,0.0,57.039
397,0,0.0,58.368
398,0,0.0,62.367
399,0,0.0,59.383
400,0,0.0,57.455
401,0,0.0,57.111
402,0,0.0,58.964
403,0,0.0,55.334
404,0,0.0,59.903
405,0,0.0,56.106
406,0,0.0,56.505
407,0,0.0,59.357
408,0,0.0,55.901
409,0,0.0,59.801
410,0,0.0,55.88
411,0,0.0,58.06
412,1,0.0522,56.838
413,0,0.0,56.285
414,0,0.0,56.65
415,0,0.0,60.363
416,0,0.0,57.072
417,0,0.0,55.924
418,0,0.0,56.197
419,0,0.0,57.777
420,0,0.0,56.806
421,0,0.0,55.638
422,0,0.0,56.87
423,1,0.079,60.405
424,0,0.0,63.362
425,0,0.0,62.886
426,0,0.0,60.71
427,0,0.0,58.623
428,0,0.0,56.433
429,0,0.0,56.287
430,0,0.0,60.092
431,0,0.0,62.248
432,0,0.0,61.602
433,0,0.0,56.569
434,0,0.0,56.083
435,0,0.0,57.049
436,0,0.0,56.572
437,0,0.0,57.215
438,0,0.0,58.299
439,0,0.0,58.698
440,0,0.0,59.648
441,0,0.0,54.944
442,0,0.0,55.704
443,0,0.0,59.952
444,0,0.0,59.323
445,0,0.0,59.187
446,0,0.0,62.005
447,0,0.0,62.537
448,0,0.0,56.306
449,0,0.0,59.06
450,0,0.0,56.946
451,0,0.0,60.725
452,0,0.0,58.866
453,0,0.0,57.495
454,1,0.079,57.306
455,0,0.0,56.867
456,0,0.0,56.867
457,0,0.0,57.67
458,0,0.0,62.349
459,0,0.0,64.066
