frame,num_detections,mean_confidence,latency_ms
263,0,0.0,56.253
264,0,0.0,54.114
265,0,0.0,54.746
266,0,0.0,54.391
267,0,0.0,59.006
268,0,0.0,57.342
269,0,0.0,62.746
270,1,0.064,62.996
271,0,0.0,61.29
272,0,0.0,62.113
273,0,0.0,59.024
274,0,0.0,55.846
275,0,0.0,57.533
276,0,0.0,59.195
277,0,0.0,57.572
278,0,0.0,54.521
279,0,0.0,56.215
280,0,0.0,57.229
281,0,0.0,56.013
282,0,0.0,53.715
283,0,0.0,62.502
284,1,0.0614,57.676
285,1,0.0506,52.487
286,0,0.0,55.871
287,0,0.0,60.111
288,0,0.0,60.221
289,0,0.0,54.185
290,0,0.0,60.861
291,0,0.0,57.146
292,0,0.0,54.134
293,2,0.0564,55.088
294,0,0.0,54.509
295,0,0.0,59.153
296,2,0.0754,62.04
297,0,0.0,62.064
298,0,0.0,61.815
299,0,0.0,61.767
300,0,0.0,58.53
301,0,0.0,53.712
302,0,0.0,53.48
303,0,0.0,53.383
304,0,0.0,56.64
305,0,0.0,60.024
306,0,0.0,55.463
307,0,0.0,56.164
308,0,0.0,54.573
309,0,0.0,56.129
310,0,0.0,53.936
311,0,0.0,59.685
312,0,0.0,53.85
313,0,0.0,53.545
314,0,0.0,55.602
315,1,0.0944,56.801
316,0,0.0,53.831
317,1,0.0808,54.078
318,0,0.0,55.002
319,0,0.0,56.222
320,0,0.0,54.595
321,0,0.0,57.738
322,0,0.0,59.999
323,0,0.0,61.721
324,0,0.0,57.138
325,1,0.0638,58.496
326,1,0.0606,57.041
327,0,0.0,57.814
328,0,0.0,52.92
329,1,0.0615,54.344
330,0,0.0,57.229
331,2,0.0795,62.733
332,0,0.0,61.685
333,0,0.0,54.807
334,0,0.0,53.974
335,0,0.0,59.033
336,0,0.0,58.021
337,0,0.0,54.683
338,0,0.0,63.152
339,0,0.0,54.05
340,0,0.0,56.861
341,0,0.0,63.179
342,0,0.0,56.299
343,1,0.05,54.134
344,0,0.0,58.022
345,0,0.0,56.412
346,1,0.0571,55.024
347,0,0.0,60.219
348,0,0.0,57.047
349,1,0.082,61.301
350,0,0.0,59.876
351,0,0.0,54.241
352,0,0.0,53.822
353,0,0.0,61.859
354,0,0.0,56.435
355,0,0.0,60.103
356,0,0.0,55.711
