frame,num_detections,mean_confidence,latency_ms
0,0,0.0,30.437
1,0,0.0,29.235
2,0,0.0,29.371
3,0,0.0,28.882
4,0,0.0,27.764
5,0,0.0,28.691
6,0,0.0,28.699
7,0,0.0,31.033
8,0,0.0,27.66
9,0,0.0,28.344
10,0,0.0,28.99
11,0,0.0,28.422
12,1,0.0584,29.602
13,0,0.0,28.131
14,0,0.0,28.571
15,0,0.0,29.478
16,0,0.0,28.771
17,0,0.0,28.559
18,0,0.0,27.967
19,0,0.0,29.482
20,0,0.0,29.511
21,0,0.0,28.88
22,0,0.0,28.533
23,0,0.0,30.453
24,0,0.0,29.611
25,0,0.0,30.698
26,0,0.0,30.467
27,1,0.0514,28.448
28,0,0.0,28.102
29,0,0.0,30.371
30,0,0.0,29.858
31,0,0.0,30.582
32,0,0.0,31.698
33,0,0.0,28.94
34,0,0.0,28.992
35,0,0.0,29.856
36,0,0.0,31.42
37,0,0.0,29.663
38,0,0.0,31.059
39,0,0.0,29.748
40,0,0.0,29.526
41,0,0.0,30.172
42,0,0.0,29.894
43,1,0.0533,30.584
44,0,0.0,29.586
45,0,0.0,29.418
46,0,0.0,29.923
47,0,0.0,28.573
48,0,0.0,28.879
49,0,0.0,28.209
50,0,0.0,29.034
51,0,0.0,30.336
52,0,0.0,28.758
53,0,0.0,29.427
54,0,0.0,28.127
55,0,0.0,30.133
56,0,0.0,31.266
57,0,0.0,29.721
58,0,0.0,29.995
59,0,0.0,29.999
60,0,0.0,29.544
61,0,0.0,29.859
62,0,0.0,29.731
63,1,0.0504,28.619
64,0,0.0,29.295
65,0,0.0,30.356
66,0,0.0,31.581
67,0,0.0,29.231
68,0,0.0,29.793
69,0,0.0,30.466
70,0,0.0,32.373
71,0,0.0,30.938
72,0,0.0,30.869
73,0,0.0,30.796
74,0,0.0,33.993
75,0,0.0,31.648
76,0,0.0,31.396
77,0,0.0,29.439
78,0,0.0,31.163
79,0,0.0,32.443
80,0,0.0,32.764
81,0,0.0,31.587
82,0,0.0,31.773
83,0,0.0,32.234
84,0,0.0,31.602
85,0,0.0,29.351
86,0,0.0,29.129
87,0,0.0,30.79
88,0,0.0,28.514
89,1,0.078,28.641
90,0,0.0,29.956
91,1,0.0538,29.586
92,0,0.0,30.534
93,0,0.0,29.282
94,0,0.0,30.177
95,0,0.0,29.431
96,0,0.0,31.202
97,0,0.0,30.617
98,0,0.0,30.408
99,0,0.0,30.013
100,0,0.0,31.684
101,0,0.0,29.459
102,0,0.0,28.717
103,0,0.0,29.226
104,0,0.0,28.64
105,0,0.0,28.269
106,0,0.0,28.761
107,1,0.0691,30.229
108,0,0.0,30.378
109,0,0.0,29.967
110,1,0.0505,29.318
111,0,0.0,29.962
112,0,0.0,30.122
113,0,0.0,29.616
114,0,0.0,29.831
115,0,0.0,32.969
116,0,0.0,33.435
117,0,0.0,31.093
118,1,0.0502,30.363
119,0,0.0,29.274
120,0,0.0,29.914
121,0,0.0,29.829
122,0,0.0,28.465
123,0,0.0,27.777
124,0,0.0,30.338
125,2,0.07,30.605
126,0,0.0,31.104
127,2,0.0737,28.894
128,1,0.0871,30.529
129,0,0.0,29.376
130,0,0.0,29.761
131,0,0.0,29.714
132,0,0.0,28.804
133,1,0.0845,30.286
134,1,0.066,29.852
135,0,0.0,31.95
136,0,0.0,30.867
137,0,0.0,30.164
138,0,0.0,30.881
139,0,0.0,31.124
140,0,0.0,29.725
141,0,0.0,30.569
142,0,0.0,30.15
143,1,0.0914,30.756
144,0,0.0,28.994
145,0,0.0,31.433
146,0,0.0,28.4
147,0,0.0,30.108
148,1,0.069,30.559
149,1,0.0536,29.023
150,0,0.0,29.377
151,1,0.0637,30.879
152,0,0.0,28.906
153,0,0.0,28.3
154,0,0.0,29.889
155,0,0.0,29.819
156,0,0.0,31.553
157,0,0.0,29.188
158,0,0.0,30.07
159,0,0.0,30.644
160,0,0.0,30.394
161,0,0.0,29.668
162,0,0.0,28.284
163,0,0.0,30.611
164,0,0.0,31.544
165,0,0.0,30.331
166,1,0.0577,30.368
167,0,0.0,32.36
168,0,0.0,29.552
169,0,0.0,30.53
170,0,0.0,28.93
171,1,0.066,30.438
172,0,0.0,30.444
173,0,0.0,30.015
174,0,0.0,29.889
175,0,0.0,31.446
176,0,0.0,29.258
177,0,0.0,30.456
178,0,0.0,30.749
179,0,0.0,29.867
180,0,0.0,29.791
181,0,0.0,30.573
182,0,0.0,29.554
183,0,0.0,31.271
184,0,0.0,29.959
185,0,0.0,31.664
186,0,0.0,30.985
187,0,0.0,29.661
188,1,0.0604,31.144
189,0,0.0,31.074
190,0,0.0,30.075
191,0,0.0,30.342
192,0,0.0,29.462
193,0,0.0,30.991
194,0,0.0,30.864
195,0,0.0,28.948
196,0,0.0,28.039
197,0,0.0,30.78
198,0,0.0,31.617
199,0,0.0,30.929
200,0,0.0,30.05
201,0,0.0,29.35
202,0,0.0,30.39
203,0,0.0,28.818
204,0,0.0,29.844
205,0,0.0,29.48
206,0,0.0,31.354
207,0,0.0,29.304
208,0,0.0,30.828
209,0,0.0,29.034
210,0,0.0,29.002
211,0,0.0,30.151
212,0,0.0,30.771
213,0,0.0,29.202
214,0,0.0,31.477
215,0,0.0,30.85
216,0,0.0,31.52
217,0,0.0,30.025
218,0,0.0,32.117
219,0,0.0,30.73
220,0,0.0,29.874
221,0,0.0,32.343
222,0,0.0,32.012
223,0,0.0,30.085
224,0,0.0,30.943
225,2,0.0774,32.703
226,0,0.0,28.388
227,0,0.0,31.66
228,0,0.0,31.117
229,0,0.0,31.592
230,0,0.0,28.14
231,0,0.0,29.512
232,0,0.0,29.571
233,0,0.0,29.982
234,1,0.0749,31.047
235,0,0.0,29.913
236,0,0.0,30.43
237,1,0.0568,31.589
238,0,0.0,30.042
239,0,0.0,28.373
240,0,0.0,28.571
241,0,0.0,30.765
242,2,0.0579,29.858
243,0,0.0,29.447
244,0,0.0,30.343
245,0,0.0,28.616
246,0,0.0,29.578
247,0,0.0,31.85
248,0,0.0,32.097
249,0,0.0,30.482
250,0,0.0,32.03
251,0,0.0,31.352
252,0,0.0,30.687
253,0,0.0,29.232
254,1,0.0931,31.366
255,0,0.0,30.197
256,0,0.0,29.681
257,0,0.0,31.438
258,0,0.0,30.006
259,0,0.0,30.095
260,0,0.0,28.846
